Lines,Heading_date
Line1,84
Line2,103
Line3,103
Line4,79
Line5,65
Line6,121
Line7,130
Line8,47
Line9,94
Line10,115
Line11,91
Line12,102
Line13,107
Line14,113
Line15,107
Line16,98
Line17,109
Line18,108
Line19,111
Line20,98
Line21,79
Line22,91
Line23,108
Line24,93
Line25,108
Line26,108
Line27,99
Line28,121
Line29,69
Line30,67
Line31,104
Line32,73
Line33,114
Line34,67
Line35,71
Line36,94
Line37,106
Line38,125
Line39,67
Line40,95
Line41,67
Line42,109
Line43,111
Line44,80
Line45,62
Line46,99
Line47,102
Line48,67
Line49,71
Line50,110
Line51,94
Line52,103
Line53,74
Line54,101
Line55,111
Line56,103
Line57,93
Line58,73
Line59,110
Line60,72
Line61,66
Line62,113
Line63,79
Line64,85
Line65,77
Line66,79
Line67,106
Line68,97
Line69,82
Line70,110
Line71,67
Line72,87
Line73,67
Line74,93
Line75,69
Line76,70
Line77,75
Line78,98
Line79,75
Line80,70
Line81,89
Line82,109
Line83,82
Line84,109
Line85,95
Line86,101
Line87,77
Line88,78
Line89,89
Line90,109
Line91,89
Line92,104
Line93,87
Line94,111
Line95,111
Line96,89
Line97,80
Line98,98
Line99,73
Line100,99
Line101,94
Line102,91
Line103,92
Line104,93
Line105,115
Line106,117
Line107,96
Line108,67
Line109,97
Line110,81
Line111,84
Line112,80
Line113,87
Line114,80
Line115,92
Line116,107
Line117,95
Line118,63
Line119,85
Line120,73
Line121,102
Line122,108
Line123,77
Line124,87
Line125,108
Line126,67
Line127,115
Line128,103
Line129,89
Line130,93
Line131,79
Line132,82
Line133,114
Line134,89
Line135,116
Line136,84
Line137,82
Line138,84
Line139,89
Line140,104
Line141,89
Line142,114
Line143,107
Line144,105
Line145,103
Line146,86
Line147,115
Line148,85
Line149,90
Line150,85
Line151,87
Line152,81
Line153,98
Line154,80
Line155,77
Line156,114
Line157,106
Line158,95
Line159,89
Line160,83
Line161,81
Line162,82
Line163,97
Line164,81
Line165,114
Line166,85
Line167,79
Line168,88
Line169,92
Line170,97
Line171,94
Line172,81
Line173,85
Line174,76
Line175,113
Line176,119
Line177,113
Line178,86
Line179,95
Line180,92
Line181,84
Line182,91
Line183,82
Line184,82
Line185,108
Line186,111
Line187,107
Line188,81
Line189,92
Line190,78
Line191,91
Line192,82
Line193,107
Line194,100
Line195,83
Line196,78
Line197,94
Line198,90
Line199,87
Line200,104
Line201,115
Line202,86
Line203,80
Line204,116
Line205,111
Line206,105
Line207,91
Line208,81
Line209,113
Line210,110
Line211,82
Line212,93
Line213,89
Line214,85
Line215,98
Line216,126
Line217,85
Line218,89
Line219,87
Line220,86
Line221,80
Line222,83
Line223,80
Line224,98
Line225,104
Line226,80
Line227,83
Line228,94
Line229,83
Line230,82
Line231,82
Line232,107
Line233,116
Line234,84
Line235,114
Line236,113
Line237,91
Line238,87
Line239,115
Line240,95
Line241,98
Line242,79
Line243,90
Line244,83
Line245,124
Line246,111
Line247,87
Line248,82
Line249,84
Line250,88
Line251,113
Line252,119
Line253,113
Line254,107
Line255,84
Line256,84
Line257,86
Line258,117
Line259,113
Line260,87
Line261,109
Line262,118
Line263,88
Line264,112
Line265,87
Line266,109
Line267,98
Line268,84
Line269,113
Line270,113
Line271,74
Line272,107
Line273,84
Line274,89
Line275,108
Line276,90
Line277,114
Line278,88
Line279,103
Line280,82
Line281,89
Line282,105
Line283,105
Line284,88
Line285,78
Line286,96
Line287,88
Line288,113
Line289,110
Line290,108
Line291,105
Line292,122
Line293,96
Line294,88
Line295,111
Line296,105
Line297,105
Line298,114
Line299,94
Line300,114
Line301,113
Line302,108
Line303,97
Line304,119
Line305,87
Line306,86
Line307,105
Line308,78
Line309,110
Line310,107
Line311,82
Line312,94
Line313,116
Line314,93
Line315,88
Line316,86
Line317,113
Line318,89
Line319,99
Line320,115
Line321,93
Line322,91
Line323,88
Line324,89
Line325,98
Line326,95
Line327,83
Line328,85
Line329,109
Line330,92
Line331,98
Line332,104
Line333,87
Line334,111
Line335,111
Line336,119
Line337,113
Line338,96
Line339,108
Line340,109
Line341,122
Line342,88
Line343,90
Line344,84
Line345,89
Line346,115
Line347,104
Line348,104
Line349,110
Line350,92
Line351,108
Line352,80
Line353,109
Line354,103
Line355,87
Line356,112
Line357,93
Line358,104
Line359,102
Line360,97
